model_family,direction,seed,condition,alpha,population,qhat,coverage,mean_set_size,median_set_size,empty_fraction,size_1_fraction,size_2_fraction,size_3_fraction,size_4_fraction,size_5_fraction,epoch_count,subject_count,primary_cell
B1,D2_ISRUC_TO_SLEEPEDF,17,C4,0.05,COMPLETE_TARGET,0.9633710082308694,0.8828227230992792,2.547316494803126,3.0,0.00463899017016057,0.2608510197343847,0.21529975106094307,0.2576242104679717,0.22493680128975976,0.03664922727678023,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B1,D2_ISRUC_TO_SLEEPEDF,17,C5,0.05,COMPLETE_TARGET,0.9633710082308694,0.8269596419904521,2.7381585257409733,3.0,0.001065160340369336,0.13130390566824351,0.3176900961777131,0.258029067791913,0.2621716257672408,0.029740144254520304,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B1,D2_ISRUC_TO_SLEEPEDF,42,C4,0.1,COMPLETE_TARGET,0.9373749250706547,0.8334710972838412,2.068093146102887,2.0,0.011015493022235824,0.3528765353852531,0.28160959704646943,0.2691433652801107,0.08220772554529221,0.003147283720638807,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B1,D2_ISRUC_TO_SLEEPEDF,42,C5,0.1,COMPLETE_TARGET,0.9373749250706547,0.7949228963685744,2.2777248946286517,2.0,0.004969141678374594,0.24088046828497137,0.34780135964584624,0.28694262834338646,0.11661818821527806,0.0027882138321432617,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B1,D2_ISRUC_TO_SLEEPEDF,42,C4,0.05,COMPLETE_TARGET,0.9730781472177126,0.8846494007870619,2.5281556580015954,3.0,0.0029279860035039437,0.2379838105267724,0.2414684753506956,0.28907776875417207,0.2027082063133644,0.025833753051491586,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B1,D2_ISRUC_TO_SLEEPEDF,42,C5,0.05,COMPLETE_TARGET,0.9730781472177126,0.8691370996310497,2.7625704584286233,3.0,0.0010217827699470553,0.13716469740529832,0.3071854945404508,0.24120339019811501,0.27969857408286564,0.033726061003323204,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B1,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.1,COMPLETE_TARGET,0.9271700932782777,0.7887825602887982,1.9962357908333555,2.0,0.01271685772879861,0.37614860191680666,0.28395439571429604,0.2582025780736021,0.06731716956533265,0.0016603970011639648,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B1,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.1,COMPLETE_TARGET,0.9271700932782777,0.8060010458814202,2.017847460363745,2.0,0.011728813069179994,0.3630509855143013,0.3182732835133904,0.2123259776219934,0.0918327264489916,0.0027882138321432617,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
B1,D2_ISRUC_TO_SLEEPEDF,2026,C4,0.05,COMPLETE_TARGET,0.9677453405780588,0.8444070647603028,2.455245191716812,2.0,0.0031039061502165263,0.2463098941828268,0.26079559283884507,0.28943442877764414,0.18274006472897453,0.017616113321492863,414961,78,D2_ISRUC_TO_SLEEPEDF_C4
B1,D2_ISRUC_TO_SLEEPEDF,2026,C5,0.05,COMPLETE_TARGET,0.9677453405780588,0.86863584770617,2.4708466578786923,2.0,0.002959314248808924,0.2407575651687749,0.3084458539477204,0.2082195676220175,0.20954981311496743,0.03006788589771087,414961,78,D2_ISRUC_TO_SLEEPEDF_C5
