experiment,condition,metric,replicate,authoritative_value,engine_value,absolute_error,tolerance,status
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,10,0.7386466967966575,0.7386466967966575,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,10,0.7977446077737821,0.7977446077737821,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,10,0.50272912394242,0.5026102852392258,0.00011883870319417955,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,10,0.08837445898766111,0.08836852561409915,5.933373561958777e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,11,0.7356453666238938,0.7356453666238938,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,11,0.8128069356652561,0.8128069356652561,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,11,0.5077421729139919,0.507600852329327,0.00014132058466498343,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,11,0.07871897770686545,0.07871464728091031,4.330425955142991e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,12,0.7381088541701505,0.7381088541701505,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,12,0.7688896961835711,0.7688896961835711,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,12,0.48552559592792305,0.48547052153299547,5.507439492757893e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,12,0.10587727916485605,0.10586827940228831,8.99976256774071e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,13,0.7485781429729714,0.7485781429729714,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,13,0.8219556987975366,0.8219556987975366,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,13,0.5109798099765644,0.5108498630829276,0.0001299468936368786,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,13,0.07185453952093944,0.07184889246486693,5.647056072505263e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,14,0.7554315126982255,0.7554315126982255,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,14,0.8298536341722457,0.8298536341722457,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,14,0.5008306606760162,0.5000238671829036,0.0008067934931126342,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,14,0.06307839676790507,0.06307248269538822,5.914072516849389e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,15,0.7451019507800112,0.7451019507800112,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,15,0.831654573109447,0.831654573109447,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,15,0.5091878151903492,0.5087894000313097,0.0003984151590394891,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,15,0.06538537513598414,0.06537919496241952,6.180173564615532e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,16,0.7170637389871768,0.7170637389871768,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,16,0.7891044605170348,0.7891044605170348,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,16,0.534975833329022,0.5345907056504103,0.000385127678611652,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,16,0.10950112276489106,0.10948850774971025,1.2615015180808542e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,17,0.7212468388706323,0.7212468388706323,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,17,0.800874556947807,0.800874556947807,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,17,0.5307316739114941,0.530220354823583,0.0005113190879111329,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,17,0.09332531752447411,0.09330892850272669,1.6389021747414967e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,18,0.7362271598342472,0.7362271598342472,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,18,0.8091364505103985,0.8091364505103985,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,18,0.5205242201773225,0.5204650713926521,5.9148784670393084e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,18,0.08505443828769176,0.0850517798924929,2.6583951988484733e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,19,0.7314212409955703,0.7314212409955703,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,19,0.8078023675584417,0.8078023675584417,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,19,0.5264850813065307,0.5261342302296038,0.00035085107692689466,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C0,AURC,19,0.08733473522919921,0.08732902542614251,5.709803056697105e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUROC,0,0.7477122556929752,0.7477122556929752,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUPRC,0,0.5433026603399332,0.5432910030762104,1.1657263722875122e-05,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,AURC,0,0.16150318099565317,0.16150275075475087,4.302409022938214e-07,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUROC,1,0.7416881992767199,0.7416881992767199,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUPRC,1,0.5384834394202972,0.5384821388567511,1.3005635460805465e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,AURC,1,0.1665384273630594,0.16653817681340757,2.5054965183124445e-07,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUROC,2,0.7546043533637065,0.7546043533637065,0.0,1e-10,PASS
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUPRC,2,0.5388963695994712,0.538887724197423,8.645402048146344e-06,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,AURC,2,0.1508388324624688,0.150838607969071,2.244933977879615e-07,1e-10,FAIL
D2_ISRUC_TO_SLEEPEDF,C3,ERROR_AUROC,3,0.7480889087804369,0.7480889087804369,0.0,1e-10,PASS
