experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C1,2026,N1,N1,0.24640743871513102,583,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N1,N2,0.3043110735418428,720,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N1,N3,0.0076077768385460695,18,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N1,REM,0.16187658495350804,383,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N2,Wake,0.031340805313408056,302,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N2,N1,0.05738895807388958,553,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N2,N2,0.8267953507679535,7967,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N2,N3,0.03995433789954338,385,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N2,REM,0.04452054794520548,429,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N3,Wake,0.003981797497155859,7,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N3,N1,0.011945392491467578,21,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N3,N2,0.32081911262798635,564,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N3,N3,0.6632536973833902,1166,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,N3,REM,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,REM,Wake,0.13686131386861314,450,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,REM,N1,0.1070559610705596,352,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C1,2026,REM,N2,0.22506082725060828,740,DESCRIPTIVE_CONFUSION_MIGRATION
