experiment_id,condition,seed,stage,recall,support,analysis_scope
D2_ISRUC_TO_SLEEPEDF,C4,17,REM,0.45813818463324946,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,42,Wake,0.5437633350033108,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,42,N1,0.1769352290679305,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,42,N2,0.5138864780420066,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,42,N3,0.9770687936191426,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,42,REM,0.34836462163731374,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,Wake,0.4597926658795584,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,N1,0.13428120063191154,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,N2,0.5020251113811259,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,N3,0.9776056446046476,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,2026,REM,0.24853880394813238,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,Wake,0.4474395041918769,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,N1,0.33700399591116065,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,N2,0.3894289185905225,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,N3,0.7249022164276402,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,17,REM,0.6063866847300174,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,Wake,0.4635098254231291,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,N1,0.46622061146733573,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,N2,0.3220650350054967,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,N3,0.6534243423575428,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,42,REM,0.6302690149022644,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,Wake,0.517557535393595,285433,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,N1,0.3087073692036056,21522,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,N2,0.33725337036394143,69132,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,N3,0.5556407699976992,13039,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,2026,REM,0.6493129475517708,25835,PRIMARY_TARGET_FREE_DIAGNOSIS
