experiment_id,seed,condition,variant,alpha,qhat,empirical_coverage,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,analysis_scope
D2_ISRUC_TO_SLEEPEDF,42,C4,ORACLE_DOMAIN_APS,0.05,0.999986697489,0.9396562508581524,0.010343749141847547,0.010343749141847547,3.9367911661413504,4.0,0.010282572412804091,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C4,ORACLE_CONDITION_APS,0.1,0.9998098565569981,0.9201346193159801,-0.02013461931598004,0.02013461931598004,3.7765996723002146,4.0,0.040590225758911816,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C4,ORACLE_CONDITION_APS,0.05,1.0,1.0,-0.050000000000000044,0.050000000000000044,5.0,5.0,0.0,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C5,SOURCE_APS,0.1,0.9990182181892268,0.9204610986181077,-0.02046109861810763,0.02046109861810763,3.312913629442941,4.0,0.14197577950747395,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C5,SOURCE_APS,0.05,0.9998281182606624,0.9662261738761636,-0.016226173876163652,0.016226173876163652,3.6717509969823547,4.0,0.047110658176170675,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C5,ORACLE_DOMAIN_APS,0.1,0.9999043306699129,0.9746963284808948,-0.0746963284808948,0.0746963284808948,3.7603489361961806,4.0,0.028040605481801067,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C5,ORACLE_DOMAIN_APS,0.05,0.999986697489,0.9839140291512454,-0.03391402915124542,0.03391402915124542,3.9364585844223603,4.0,0.003316663564604762,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C5,ORACLE_CONDITION_APS,0.1,0.9991833308162368,0.9267282807355853,-0.026728280735585308,0.026728280735585308,3.356283506082584,4.0,0.12960618052779804,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,C5,ORACLE_CONDITION_APS,0.05,0.9997844207545358,0.9621863739133883,-0.012186373913388393,0.012186373913388393,3.6331135446193463,4.0,0.055959162626358167,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C3,SOURCE_APS,0.1,0.9951230063346641,0.8745922822733944,0.02540771772660566,0.02540771772660566,2.578805085754213,3.0,0.28223372866823904,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,C3,SOURCE_APS,0.05,0.9982237137460845,0.9090282206267792,0.04097177937322072,0.04097177937322072,2.9355950924363596,3.0,0.18280094831558039,ORACLE_TARGET_UPPER_BOUND
