direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count,analysis_scope,interpretation
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.3299398179939314,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.6133093754277827,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,NLL,UNCALIBRATED,0.9981297418776457,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,Brier,UNCALIBRATED,0.4818083457910786,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7240453694677266,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5295557351597076,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.18224925905986153,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.3727618908930364,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,NLL,UNCALIBRATED,1.5741535600492496,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,Brier,UNCALIBRATED,0.7081976632653013,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7285393976164791,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.7156090596056205,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.345605415617245,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5281007352855193,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,NLL,UNCALIBRATED,1.0534004060566944,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,Brier,UNCALIBRATED,0.5346025992447934,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.6939019377734296,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5592142281796822,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.24790011809744233,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.2316486624198079,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,NLL,UNCALIBRATED,2.29755526874635,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
