experiment_id,seed,condition,true_class,predicted_class,count,prediction_hash
D1_SLEEPEDF_TO_ISRUC,17,C5,0,3,5,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,0,4,247,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,1,0,5941,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,1,1,2027,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,1,2,3264,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,1,3,44,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,1,4,214,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,2,0,7996,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,2,1,1694,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,2,2,17439,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,2,3,505,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,2,4,561,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,3,0,2057,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,3,1,358,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,3,2,7072,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,3,3,7637,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,3,4,158,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,4,0,4534,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,4,1,1255,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
D1_SLEEPEDF_TO_ISRUC,17,C5,4,2,2692,b348243ec14f25559cc0e77ef571f57fa7034ce79cb6b1e2bd12674fd8299f75
