model,experiment,seed,condition,replicate,metric,optimized_value,literal_value,absolute_error,tolerance,pass_
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,ECE,0.11552537046634331,0.11552537046634333,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,ERROR_AUROC,0.7335935559085647,0.7335935559085647,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,ERROR_AUPRC,0.5582617318078853,0.5582617318078877,2.4424906541753444e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,AURC,0.19097430310795077,0.1909743031079524,1.6375789613221059e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,coverage,0.9721887550200803,0.9721887550200803,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,0,mean_set_size,3.7903726015171797,3.7903726015171797,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,macro-F1,0.6423702197679438,0.6423702197679438,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,NLL,0.9935074433202985,0.9935074433202985,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,Brier,0.4616282960768704,0.4616282960768704,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,ECE,0.09674140324488954,0.09674140324488953,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,ERROR_AUROC,0.7553299130193528,0.7553299130193528,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,ERROR_AUPRC,0.5479671618272944,0.5479671618272963,1.887379141862766e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,AURC,0.15762185420214717,0.15762185420214914,1.970645868709653e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,coverage,0.9787172786464101,0.9787172786464101,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,1,mean_set_size,3.7955773574877085,3.7955773574877085,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,2,macro-F1,0.6520188666467188,0.6520188666467188,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C3,2,NLL,0.9660500127847595,0.9660500127847595,0.0,1e-12,True
