experiment,condition,metric,v1_1_point,v1_2_point,point_delta,v1_1_ci_low,v1_1_ci_high,v1_2_ci_low,v1_2_ci_high,ci_low_delta,ci_high_delta,repair_scope,expected_change,status
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUROC,0.8043380220575171,0.8043380220575171,0.0,0.7759898602474348,0.8311329351346906,0.7759898602474348,0.8311329351346906,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C0,ERROR_AUPRC,0.5183170657843182,0.5183170657843182,0.0,0.48805581030077844,0.5483222508247313,0.48781517463382834,0.5479434148661687,-0.0002406356669500953,-0.00037883595856258445,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D2_ISRUC_TO_SLEEPEDF,C0,AURC,0.0886485880922413,0.0886485880922413,0.0,0.06516935635647406,0.11753315738071415,0.06516145785830671,0.1175243197935633,-7.89849816734689e-06,-8.837587150853365e-06,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D2_ISRUC_TO_SLEEPEDF,C0,coverage_0.1,0.9656144997915287,0.9656144997915287,0.0,0.9479468864179013,0.9804724004602918,0.9479468864179013,0.9804724004602918,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.1,-0.06561449979152867,-0.06561449979152867,0.0,-0.0804724004602918,-0.047946886417901236,-0.0804724004602918,-0.047946886417901236,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C0,coverage_0.05,0.9837637652367989,0.9837637652367989,0.0,0.9734418412896874,0.9924125507580818,0.9734418412896874,0.9924125507580818,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C0,gap_0.05,-0.033763765236798915,-0.033763765236798915,0.0,-0.04241255075808184,-0.023441841289687473,-0.04241255075808184,-0.023441841289687473,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,macro-F1,0.6462870090953093,0.6462870090953093,0.0,0.5927117330623836,0.6906755357836744,0.5927117330623836,0.6906755357836744,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,NLL,0.7961944341007207,0.7961944341007207,0.0,0.6861563274102458,0.922500695208321,0.6861563274102458,0.922500695208321,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D2_ISRUC_TO_SLEEPEDF,C1,Brier,0.41886278277123895,0.41886278277123895,0.0,0.36957957475191633,0.47272563232107523,0.36957957475191633,0.47272563232107523,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
