experiment_id,condition,true_class,predicted_class,b0_row_normalized,b1_row_normalized,b1_minus_b0
D2_ISRUC_TO_SLEEPEDF,C1,0,0,0.7466336905743337,0.7550609141705596,0.008427223596225941
D2_ISRUC_TO_SLEEPEDF,C1,0,1,0.13007236420261978,0.10790510213428596,-0.022167262068333818
D2_ISRUC_TO_SLEEPEDF,C1,0,2,0.048822936704222775,0.035174498488595766,-0.013648438215627008
D2_ISRUC_TO_SLEEPEDF,C1,0,3,0.003755610515709444,0.003572410002748008,-0.00018320051296143603
D2_ISRUC_TO_SLEEPEDF,C1,0,4,0.0707153980031144,0.09828707520381057,0.02757167720069617
D2_ISRUC_TO_SLEEPEDF,C1,1,0,0.149500998003992,0.12455089820359282,-0.02495009980039918
D2_ISRUC_TO_SLEEPEDF,C1,1,1,0.36706586826347304,0.36167664670658684,-0.005389221556886203
D2_ISRUC_TO_SLEEPEDF,C1,1,2,0.25548902195608786,0.25069860279441114,-0.004790419161676718
D2_ISRUC_TO_SLEEPEDF,C1,1,3,0.00658682634730539,0.0055888223552894205,-0.0009980039920159693
D2_ISRUC_TO_SLEEPEDF,C1,1,4,0.2213572854291417,0.2574850299401198,0.03612774451097808
D2_ISRUC_TO_SLEEPEDF,C1,2,0,0.008465060032823702,0.008637816360024185,0.00017275632720048333
D2_ISRUC_TO_SLEEPEDF,C1,2,1,0.0678932365897901,0.05485013388615358,-0.013043102703636518
D2_ISRUC_TO_SLEEPEDF,C1,2,2,0.7320549365120498,0.7402608620540727,0.00820592554202293
D2_ISRUC_TO_SLEEPEDF,C1,2,3,0.0769629437678155,0.08214563358383002,0.005182689816014524
D2_ISRUC_TO_SLEEPEDF,C1,2,4,0.11462382309752095,0.1141055541159195,-0.0005182689816014552
D2_ISRUC_TO_SLEEPEDF,C1,3,0,0.0004936443292607676,0.0006170554115759595,0.0001234110823151919
D2_ISRUC_TO_SLEEPEDF,C1,3,1,0.0002468221646303838,0.0,-0.0002468221646303838
D2_ISRUC_TO_SLEEPEDF,C1,3,2,0.18696778970751574,0.1773417252869308,-0.009626064420584945
D2_ISRUC_TO_SLEEPEDF,C1,3,3,0.80389979020116,0.8192027644082439,0.01530297420708393
D2_ISRUC_TO_SLEEPEDF,C1,3,4,0.00839195359743305,0.002838454893249414,-0.0055534987041836355
D2_ISRUC_TO_SLEEPEDF,C1,4,0,0.044328300425861396,0.029036004645760744,-0.015292295780100652
D2_ISRUC_TO_SLEEPEDF,C1,4,1,0.11556329849012777,0.05768486256291135,-0.057878435927216414
D2_ISRUC_TO_SLEEPEDF,C1,4,2,0.2272551296941541,0.16686024003097175,-0.06039488966318235
D2_ISRUC_TO_SLEEPEDF,C1,4,3,0.028842431281455676,0.030584591560201314,0.0017421602787456372
D2_ISRUC_TO_SLEEPEDF,C1,4,4,0.5840108401084011,0.715834301200155,0.1318234610917539
D2_ISRUC_TO_SLEEPEDF,C2,0,0,0.2619767335348539,0.7662361454612073,0.5042594119263535
D2_ISRUC_TO_SLEEPEDF,C2,0,1,0.1775212970596318,0.06851699184757717,-0.10900430521205462
D2_ISRUC_TO_SLEEPEDF,C2,0,2,0.2868004030411285,0.12256114317120088,-0.16423925986992766
D2_ISRUC_TO_SLEEPEDF,C2,0,3,0.023724466428505998,0.011266831547128332,-0.012457634881377666
